content_id,title,description,category,level,duration,difficulty,rating
1,Course 1 - Bootcamp,Synthetic course about problem-solving,attention,Advanced,196,2,4.08
2,Course 2 - Essentials,Synthetic course about problem-solving,creativity,Beginner,134,3,4.24
3,Course 3 - Bootcamp,Synthetic course about logic,logic,Advanced,189,1,3.48
4,Course 4 - Mastery,Synthetic course about coding,problem-solving,Beginner,31,3,3.43
5,Course 5 - Mastery,Synthetic course about attention,logic,Beginner,98,1,4.19
6,Course 6 - Bootcamp,Synthetic course about attention,neuroscience,Intermediate,138,3,3.44
7,Course 7 - Bootcamp,Synthetic course about creativity,creativity,Beginner,55,1,3.95
8,Course 8 - Essentials,Synthetic course about coding,problem-solving,Intermediate,27,2,3.79
9,Course 9 - Lab,Synthetic course about coding,logic,Beginner,47,3,3.81
10,Course 10 - Bootcamp,Synthetic course about creativity,memory,Advanced,135,1,4.57
11,Course 11 - Workshop,Synthetic course about problem-solving,problem-solving,Intermediate,105,1,4.26
12,Course 12 - Workshop,Synthetic course about logic,neuroscience,Intermediate,68,1,4.9
13,Course 13 - Workshop,Synthetic course about problem-solving,memory,Beginner,185,2,4.48
14,Course 14 - Mastery,Synthetic course about memory,logic,Beginner,99,3,2.86
15,Course 15 - Essentials,Synthetic course about creativity,logic,Intermediate,24,1,4.35
16,Course 16 - Mastery,Synthetic course about logic,creativity,Beginner,65,2,4.16
17,Course 17 - Workshop,Synthetic course about problem-solving,creativity,Beginner,117,2,4.12
18,Course 18 - Bootcamp,Synthetic course about problem-solving,logic,Intermediate,121,2,3.7
19,Course 19 - Workshop,Synthetic course about coding,memory,Beginner,21,2,2.66
20,Course 20 - Bootcamp,Synthetic course about creativity,creativity,Beginner,44,2,4.88
21,Course 21 - Essentials,Synthetic course about memory,logic,Beginner,20,2,4.63
22,Course 22 - Lab,Synthetic course about attention,memory,Beginner,187,2,3.72
23,Course 23 - Bootcamp,Synthetic course about creativity,attention,Advanced,87,3,2.9
24,Course 24 - Mastery,Synthetic course about memory,problem-solving,Beginner,88,3,4.56
25,Course 25 - Workshop,Synthetic course about memory,attention,Advanced,35,2,3.58
26,Course 26 - Workshop,Synthetic course about creativity,attention,Beginner,37,1,3.48
27,Course 27 - Workshop,Synthetic course about logic,problem-solving,Beginner,126,1,4.16
28,Course 28 - Bootcamp,Synthetic course about creativity,logic,Intermediate,36,1,4.4
29,Course 29 - Essentials,Synthetic course about problem-solving,logic,Beginner,144,2,2.66
30,Course 30 - Bootcamp,Synthetic course about coding,creativity,Intermediate,101,1,4.42
31,Course 31 - Mastery,Synthetic course about problem-solving,neuroscience,Advanced,23,3,4.33
32,Course 32 - Workshop,Synthetic course about memory,logic,Beginner,134,3,3.97
33,Course 33 - Bootcamp,Synthetic course about memory,problem-solving,Intermediate,114,3,3.35
34,Course 34 - Workshop,Synthetic course about attention,neuroscience,Beginner,114,3,2.91
35,Course 35 - Mastery,Synthetic course about memory,problem-solving,Beginner,156,2,2.76
36,Course 36 - Lab,Synthetic course about attention,problem-solving,Beginner,50,3,2.5
37,Course 37 - Lab,Synthetic course about memory,problem-solving,Advanced,152,1,3.02
38,Course 38 - Lab,Synthetic course about memory,neuroscience,Beginner,35,1,3.53
39,Course 39 - Workshop,Synthetic course about creativity,attention,Advanced,61,3,3.11
40,Course 40 - Bootcamp,Synthetic course about creativity,memory,Intermediate,188,3,3.27
41,Course 41 - Workshop,Synthetic course about coding,problem-solving,Beginner,49,3,3.48
42,Course 42 - Essentials,Synthetic course about problem-solving,creativity,Beginner,45,1,3.27
43,Course 43 - Bootcamp,Synthetic course about logic,logic,Intermediate,196,1,4.31
44,Course 44 - Mastery,Synthetic course about coding,memory,Intermediate,50,3,3.73
45,Course 45 - Lab,Synthetic course about memory,logic,Beginner,69,1,2.55
46,Course 46 - Bootcamp,Synthetic course about coding,logic,Advanced,162,1,3.07
47,Course 47 - Bootcamp,Synthetic course about creativity,neuroscience,Beginner,71,2,4.27
48,Course 48 - Lab,Synthetic course about problem-solving,creativity,Advanced,185,3,3.25
49,Course 49 - Mastery,Synthetic course about memory,creativity,Intermediate,57,3,4.8
50,Course 50 - Workshop,Synthetic course about memory,memory,Intermediate,39,2,4.28
51,Course 51 - Workshop,Synthetic course about coding,creativity,Intermediate,118,2,3.22
52,Course 52 - Bootcamp,Synthetic course about problem-solving,creativity,Intermediate,63,1,3.79
53,Course 53 - Lab,Synthetic course about attention,creativity,Intermediate,130,2,4.17
54,Course 54 - Essentials,Synthetic course about logic,memory,Intermediate,108,3,2.98
55,Course 55 - Mastery,Synthetic course about problem-solving,attention,Beginner,82,3,3.12
56,Course 56 - Workshop,Synthetic course about coding,creativity,Intermediate,137,3,3.77
57,Course 57 - Mastery,Synthetic course about coding,creativity,Beginner,197,1,4.81
58,Course 58 - Mastery,Synthetic course about logic,neuroscience,Beginner,169,1,3.36
59,Course 59 - Mastery,Synthetic course about memory,neuroscience,Beginner,91,3,3.51
60,Course 60 - Lab,Synthetic course about memory,creativity,Beginner,73,3,2.98
61,Course 61 - Lab,Synthetic course about attention,attention,Beginner,156,1,3.98
62,Course 62 - Lab,Synthetic course about coding,creativity,Advanced,162,1,4.35
63,Course 63 - Bootcamp,Synthetic course about logic,creativity,Beginner,67,2,3.6
64,Course 64 - Lab,Synthetic course about coding,creativity,Intermediate,167,1,4.38
65,Course 65 - Bootcamp,Synthetic course about creativity,problem-solving,Beginner,182,1,3.26
66,Course 66 - Workshop,Synthetic course about coding,attention,Beginner,120,3,4.27
67,Course 67 - Workshop,Synthetic course about coding,logic,Beginner,79,3,3.15
68,Course 68 - Workshop,Synthetic course about creativity,creativity,Beginner,117,3,4.45
69,Course 69 - Workshop,Synthetic course about creativity,logic,Intermediate,181,2,4.58
70,Course 70 - Workshop,Synthetic course about logic,attention,Intermediate,119,1,4.49
71,Course 71 - Lab,Synthetic course about memory,creativity,Beginner,118,2,3.04
72,Course 72 - Essentials,Synthetic course about attention,logic,Beginner,92,1,4.24
73,Course 73 - Lab,Synthetic course about creativity,memory,Advanced,138,1,3.85
74,Course 74 - Essentials,Synthetic course about memory,logic,Beginner,147,3,4.97
75,Course 75 - Lab,Synthetic course about logic,attention,Beginner,159,1,3.4
76,Course 76 - Workshop,Synthetic course about problem-solving,creativity,Intermediate,107,2,4.43
77,Course 77 - Mastery,Synthetic course about coding,problem-solving,Beginner,124,3,3.43
78,Course 78 - Essentials,Synthetic course about logic,attention,Advanced,38,2,3.49
79,Course 79 - Mastery,Synthetic course about logic,problem-solving,Intermediate,99,2,2.78
80,Course 80 - Workshop,Synthetic course about creativity,creativity,Beginner,45,3,3.1
81,Course 81 - Essentials,Synthetic course about attention,logic,Beginner,170,1,2.91
82,Course 82 - Mastery,Synthetic course about creativity,memory,Intermediate,140,2,2.9
83,Course 83 - Lab,Synthetic course about coding,memory,Beginner,52,1,2.52
84,Course 84 - Workshop,Synthetic course about creativity,attention,Advanced,125,3,4.48
85,Course 85 - Lab,Synthetic course about coding,attention,Intermediate,49,1,3.67
86,Course 86 - Lab,Synthetic course about creativity,attention,Beginner,170,1,4.51
87,Course 87 - Workshop,Synthetic course about problem-solving,neuroscience,Intermediate,145,3,4.03
88,Course 88 - Essentials,Synthetic course about attention,memory,Beginner,55,1,4.58
89,Course 89 - Bootcamp,Synthetic course about problem-solving,memory,Beginner,144,2,3.76
90,Course 90 - Bootcamp,Synthetic course about memory,creativity,Intermediate,143,2,2.74
91,Course 91 - Workshop,Synthetic course about attention,neuroscience,Intermediate,190,2,4.04
92,Course 92 - Bootcamp,Synthetic course about creativity,attention,Intermediate,137,1,4.19
93,Course 93 - Mastery,Synthetic course about logic,attention,Beginner,142,2,4.07
94,Course 94 - Essentials,Synthetic course about memory,problem-solving,Intermediate,56,1,4.5
95,Course 95 - Lab,Synthetic course about logic,neuroscience,Beginner,80,1,4.33
96,Course 96 - Lab,Synthetic course about problem-solving,logic,Intermediate,115,1,3.58
97,Course 97 - Workshop,Synthetic course about attention,memory,Intermediate,139,1,4.55
98,Course 98 - Lab,Synthetic course about memory,creativity,Intermediate,31,3,4.23
99,Course 99 - Mastery,Synthetic course about problem-solving,logic,Advanced,141,2,2.8
100,Course 100 - Mastery,Synthetic course about creativity,logic,Advanced,54,2,3.85
101,Course 101 - Workshop,Synthetic course about logic,creativity,Advanced,86,1,4.32
102,Course 102 - Lab,Synthetic course about creativity,attention,Advanced,57,3,3.88
103,Course 103 - Bootcamp,Synthetic course about coding,memory,Intermediate,43,1,4.87
104,Course 104 - Bootcamp,Synthetic course about memory,problem-solving,Advanced,100,2,2.75
105,Course 105 - Essentials,Synthetic course about logic,attention,Advanced,187,2,4.31
106,Course 106 - Workshop,Synthetic course about attention,attention,Intermediate,91,3,4.56
107,Course 107 - Essentials,Synthetic course about attention,neuroscience,Beginner,98,1,4.26
108,Course 108 - Bootcamp,Synthetic course about attention,logic,Beginner,133,3,3.46
109,Course 109 - Bootcamp,Synthetic course about problem-solving,logic,Intermediate,64,1,3.46
110,Course 110 - Bootcamp,Synthetic course about attention,memory,Beginner,144,3,3.97
111,Course 111 - Essentials,Synthetic course about logic,logic,Intermediate,115,2,3.49
112,Course 112 - Workshop,Synthetic course about problem-solving,problem-solving,Beginner,32,3,4.71
113,Course 113 - Mastery,Synthetic course about coding,problem-solving,Beginner,129,2,2.77
114,Course 114 - Mastery,Synthetic course about attention,problem-solving,Intermediate,25,2,4.1
115,Course 115 - Bootcamp,Synthetic course about attention,creativity,Advanced,116,1,2.84
116,Course 116 - Workshop,Synthetic course about problem-solving,memory,Beginner,90,3,3.85
