user_id,age,interest,level,learning_style
1,48,neuroscience,Intermediate,audio
2,38,mathematics,Beginner,audio
3,24,psychology,Intermediate,audio
4,52,problem-solving,Beginner,audio
5,17,memory,Advanced,audio
6,30,problem-solving,Beginner,audio
7,48,attention,Beginner,visual
8,28,memory,Intermediate,visual
9,32,attention,Beginner,visual
10,20,attention,Intermediate,visual
11,20,neuroscience,Advanced,audio
12,33,neuroscience,Intermediate,kinesthetic
13,45,language,Beginner,audio
14,49,logic,Intermediate,visual
15,33,language,Intermediate,audio
16,12,language,Advanced,kinesthetic
17,31,logic,Beginner,visual
18,11,creativity,Beginner,audio
19,33,memory,Intermediate,visual
20,53,coding,Beginner,audio
21,39,language,Beginner,visual
22,47,mathematics,Beginner,visual
23,11,mathematics,Advanced,audio
24,30,attention,Advanced,audio
25,42,logic,Intermediate,audio
26,21,attention,Beginner,visual
27,31,psychology,Beginner,audio
28,53,psychology,Advanced,visual
29,34,coding,Advanced,kinesthetic
30,58,neuroscience,Advanced,audio
31,36,neuroscience,Intermediate,kinesthetic
32,51,logic,Beginner,visual
33,37,logic,Advanced,audio
34,25,language,Beginner,visual
35,24,psychology,Beginner,visual
36,56,language,Intermediate,visual
37,53,neuroscience,Beginner,audio
38,12,memory,Beginner,audio
39,46,memory,Beginner,visual
40,16,logic,Beginner,visual
41,30,attention,Advanced,visual
42,18,neuroscience,Beginner,audio
43,48,memory,Beginner,kinesthetic
44,27,neuroscience,Beginner,kinesthetic
45,13,problem-solving,Beginner,audio
46,34,mathematics,Beginner,audio
47,23,psychology,Intermediate,kinesthetic
48,59,language,Beginner,kinesthetic
49,18,neuroscience,Intermediate,visual
50,35,mathematics,Advanced,kinesthetic
51,11,problem-solving,Intermediate,visual
52,29,language,Beginner,audio
53,37,neuroscience,Beginner,visual
54,56,logic,Advanced,visual
55,16,mathematics,Intermediate,kinesthetic
56,53,language,Advanced,audio
57,17,neuroscience,Advanced,visual
58,56,mathematics,Advanced,visual
59,44,problem-solving,Advanced,audio
60,23,neuroscience,Intermediate,audio
61,26,neuroscience,Beginner,kinesthetic
62,45,neuroscience,Advanced,visual
63,59,coding,Intermediate,visual
64,49,logic,Beginner,kinesthetic
65,13,problem-solving,Intermediate,audio
66,11,language,Intermediate,kinesthetic
67,15,coding,Advanced,visual
68,51,attention,Intermediate,visual
69,13,coding,Beginner,visual
70,38,psychology,Advanced,kinesthetic
71,27,psychology,Advanced,audio
72,35,neuroscience,Intermediate,audio
73,53,coding,Beginner,audio
74,43,attention,Beginner,audio
75,19,coding,Intermediate,visual
76,45,logic,Beginner,kinesthetic
77,23,logic,Beginner,kinesthetic
78,40,attention,Intermediate,audio
79,57,coding,Beginner,visual
80,24,mathematics,Beginner,visual
81,17,logic,Beginner,audio
82,23,logic,Beginner,kinesthetic
83,32,memory,Intermediate,kinesthetic
84,49,coding,Beginner,kinesthetic
85,30,logic,Beginner,audio
86,25,problem-solving,Intermediate,visual
87,54,coding,Advanced,audio
88,27,psychology,Intermediate,audio
89,56,memory,Beginner,visual
90,33,logic,Beginner,kinesthetic
91,35,memory,Advanced,kinesthetic
92,34,psychology,Beginner,kinesthetic
93,54,attention,Intermediate,kinesthetic
94,50,attention,Beginner,audio
95,38,coding,Beginner,visual
96,24,psychology,Advanced,audio
97,54,creativity,Intermediate,audio
98,10,creativity,Intermediate,visual
99,34,coding,Beginner,visual
100,16,neuroscience,Beginner,visual
101,18,memory,Intermediate,audio
102,33,memory,Intermediate,audio
103,10,attention,Beginner,audio
104,53,creativity,Beginner,audio
105,17,language,Beginner,audio
106,33,logic,Advanced,visual
107,20,logic,Intermediate,kinesthetic
108,26,logic,Advanced,visual
109,17,attention,Beginner,visual
110,44,psychology,Advanced,audio
111,44,mathematics,Beginner,kinesthetic
112,42,creativity,Intermediate,audio
113,14,creativity,Advanced,kinesthetic
114,51,language,Beginner,kinesthetic
115,48,memory,Beginner,kinesthetic
116,50,neuroscience,Beginner,audio
117,37,coding,Beginner,visual
118,16,memory,Intermediate,audio
119,18,psychology,Intermediate,audio
120,17,coding,Intermediate,audio
121,21,creativity,Intermediate,kinesthetic
122,43,psychology,Intermediate,kinesthetic
123,42,coding,Beginner,audio
124,57,language,Beginner,visual
125,32,language,Advanced,kinesthetic
126,33,problem-solving,Beginner,visual
127,46,mathematics,Intermediate,audio
128,44,language,Beginner,visual
129,53,creativity,Intermediate,visual
130,49,neuroscience,Intermediate,visual
131,31,logic,Beginner,visual
132,36,problem-solving,Beginner,visual
133,44,logic,Intermediate,audio
134,10,mathematics,Beginner,audio
135,44,coding,Beginner,audio
136,46,attention,Intermediate,visual
137,56,language,Beginner,audio
138,23,neuroscience,Advanced,kinesthetic
139,12,mathematics,Intermediate,visual
140,10,logic,Beginner,visual
141,14,problem-solving,Intermediate,kinesthetic
142,35,language,Intermediate,kinesthetic
143,23,creativity,Beginner,kinesthetic
144,48,language,Beginner,visual
145,36,problem-solving,Beginner,audio
146,18,problem-solving,Beginner,kinesthetic
147,24,attention,Beginner,kinesthetic
148,24,language,Beginner,kinesthetic
149,35,language,Beginner,visual
150,51,attention,Intermediate,visual
151,22,psychology,Intermediate,audio
152,41,psychology,Intermediate,visual
153,48,coding,Intermediate,audio
154,58,psychology,Advanced,audio
155,41,memory,Intermediate,visual
156,13,language,Intermediate,visual
157,39,neuroscience,Beginner,audio
158,46,language,Advanced,kinesthetic
159,32,memory,Beginner,kinesthetic
160,48,memory,Beginner,visual
161,54,logic,Intermediate,visual
162,24,language,Beginner,kinesthetic
163,52,mathematics,Beginner,audio
164,38,memory,Intermediate,visual
165,45,neuroscience,Intermediate,audio
166,22,attention,Intermediate,audio
167,41,coding,Advanced,visual
168,16,logic,Beginner,visual
169,31,attention,Beginner,audio
170,37,logic,Intermediate,audio
171,11,neuroscience,Beginner,visual
172,51,problem-solving,Intermediate,visual
173,54,language,Beginner,visual
174,15,creativity,Beginner,audio
175,37,mathematics,Intermediate,visual
176,37,attention,Intermediate,audio
177,53,language,Intermediate,audio
178,53,mathematics,Beginner,visual
179,29,problem-solving,Beginner,visual
180,39,creativity,Beginner,audio
181,20,mathematics,Beginner,audio
182,37,mathematics,Beginner,visual
183,34,attention,Beginner,audio
184,48,psychology,Intermediate,audio
185,42,creativity,Beginner,visual
186,10,language,Intermediate,audio
187,36,problem-solving,Advanced,audio
188,22,creativity,Beginner,kinesthetic
189,50,neuroscience,Beginner,visual
190,12,psychology,Beginner,visual
191,48,neuroscience,Intermediate,visual
192,15,problem-solving,Beginner,visual
193,17,attention,Beginner,kinesthetic
194,36,attention,Intermediate,visual
195,18,problem-solving,Beginner,audio
196,46,logic,Intermediate,visual
197,42,problem-solving,Intermediate,visual
198,51,psychology,Intermediate,visual
199,53,memory,Beginner,visual
200,33,attention,Advanced,kinesthetic
201,24,coding,Intermediate,visual
202,41,psychology,Beginner,audio
203,41,psychology,Beginner,audio
204,33,psychology,Beginner,visual
205,50,mathematics,Advanced,audio
206,58,psychology,Advanced,audio
207,58,attention,Intermediate,audio
208,21,memory,Advanced,audio
209,48,memory,Beginner,kinesthetic
210,11,psychology,Beginner,audio
211,12,neuroscience,Advanced,audio
212,58,attention,Intermediate,audio
213,46,attention,Beginner,visual
214,58,creativity,Intermediate,audio
215,26,language,Advanced,visual
216,58,logic,Intermediate,audio
217,11,logic,Advanced,visual
218,11,neuroscience,Intermediate,kinesthetic
219,37,logic,Beginner,audio
220,32,creativity,Advanced,visual
221,46,problem-solving,Beginner,visual
222,41,logic,Advanced,visual
223,42,attention,Beginner,visual
224,10,problem-solving,Intermediate,visual
225,28,logic,Beginner,visual
226,11,attention,Beginner,visual
227,53,attention,Beginner,audio
228,35,psychology,Advanced,audio
229,41,memory,Advanced,visual
230,15,neuroscience,Beginner,kinesthetic
231,41,creativity,Advanced,kinesthetic
232,13,mathematics,Advanced,kinesthetic
233,20,language,Intermediate,visual
234,26,logic,Beginner,visual
235,47,logic,Advanced,visual
236,33,problem-solving,Intermediate,visual
237,14,problem-solving,Advanced,visual
238,43,language,Advanced,audio
239,15,logic,Advanced,audio
240,31,coding,Intermediate,visual
241,20,creativity,Beginner,visual
242,57,logic,Beginner,audio
243,25,memory,Beginner,audio
244,42,language,Beginner,kinesthetic
245,18,coding,Intermediate,visual
246,15,creativity,Intermediate,visual
247,25,logic,Advanced,visual
248,38,mathematics,Beginner,visual
249,12,psychology,Intermediate,audio
250,29,memory,Beginner,visual
251,45,mathematics,Beginner,visual
252,28,problem-solving,Beginner,audio
253,35,problem-solving,Intermediate,audio
254,12,logic,Beginner,audio
255,28,problem-solving,Intermediate,visual
256,29,memory,Beginner,audio
257,41,creativity,Advanced,visual
258,16,attention,Advanced,visual
259,50,neuroscience,Advanced,kinesthetic
260,42,language,Advanced,visual
261,49,creativity,Advanced,audio
262,48,attention,Advanced,visual
263,27,coding,Intermediate,visual
264,49,memory,Beginner,audio
265,10,mathematics,Beginner,visual
266,20,attention,Beginner,kinesthetic
267,37,memory,Intermediate,audio
268,34,psychology,Intermediate,visual
269,59,mathematics,Advanced,kinesthetic
270,32,problem-solving,Advanced,visual
271,40,problem-solving,Beginner,visual
272,39,mathematics,Intermediate,audio
273,51,coding,Advanced,audio
274,44,coding,Beginner,visual
275,16,coding,Intermediate,visual
276,25,attention,Beginner,kinesthetic
277,35,language,Intermediate,audio
278,57,attention,Beginner,visual
279,58,logic,Advanced,audio
280,11,neuroscience,Intermediate,audio
281,10,mathematics,Beginner,visual
282,57,creativity,Beginner,audio
283,21,neuroscience,Beginner,audio
284,14,psychology,Advanced,audio
285,46,attention,Intermediate,audio
286,41,attention,Beginner,kinesthetic
287,18,memory,Beginner,visual
288,50,neuroscience,Intermediate,audio
289,44,memory,Intermediate,kinesthetic
290,28,creativity,Intermediate,visual
291,57,memory,Beginner,kinesthetic
292,25,neuroscience,Intermediate,audio
293,12,mathematics,Intermediate,visual
294,29,psychology,Advanced,kinesthetic
295,33,attention,Advanced,audio
296,42,creativity,Intermediate,kinesthetic
297,33,attention,Intermediate,kinesthetic
298,20,logic,Beginner,kinesthetic
299,58,psychology,Advanced,audio
300,17,language,Beginner,audio
301,45,memory,Beginner,audio
302,47,problem-solving,Beginner,kinesthetic
303,49,neuroscience,Advanced,audio
304,29,attention,Beginner,visual
305,44,memory,Beginner,visual
306,57,creativity,Beginner,audio
307,34,attention,Beginner,audio
308,44,language,Beginner,visual
309,34,psychology,Advanced,kinesthetic
310,38,psychology,Advanced,audio
311,27,attention,Beginner,kinesthetic
312,55,creativity,Advanced,visual
313,27,psychology,Intermediate,visual
314,11,psychology,Beginner,visual
315,44,language,Intermediate,audio
316,25,neuroscience,Advanced,visual
317,50,creativity,Beginner,visual
318,45,creativity,Beginner,audio
319,42,mathematics,Advanced,visual
320,13,mathematics,Intermediate,audio
321,42,psychology,Beginner,visual
322,23,problem-solving,Intermediate,visual
323,30,mathematics,Intermediate,visual
324,57,psychology,Advanced,audio
325,29,coding,Intermediate,kinesthetic
326,17,logic,Beginner,audio
327,16,logic,Intermediate,visual
328,12,creativity,Intermediate,visual
329,26,problem-solving,Beginner,visual
330,42,language,Intermediate,audio
331,57,neuroscience,Advanced,visual
332,21,mathematics,Beginner,audio
333,31,coding,Intermediate,visual
334,31,psychology,Beginner,visual
335,55,problem-solving,Beginner,visual
336,39,creativity,Beginner,visual
337,47,mathematics,Beginner,kinesthetic
338,47,problem-solving,Advanced,audio
339,54,mathematics,Beginner,kinesthetic
340,17,neuroscience,Intermediate,audio
341,36,neuroscience,Beginner,visual
342,36,language,Advanced,visual
343,43,logic,Intermediate,visual
344,30,memory,Intermediate,audio
345,39,memory,Beginner,visual
346,42,mathematics,Beginner,audio
347,37,language,Beginner,audio
348,56,memory,Advanced,audio
349,42,creativity,Beginner,visual
350,14,memory,Intermediate,audio
351,57,attention,Intermediate,audio
352,28,psychology,Beginner,audio
353,13,language,Intermediate,audio
354,44,creativity,Intermediate,kinesthetic
355,58,problem-solving,Intermediate,kinesthetic
356,26,creativity,Beginner,audio
357,53,logic,Beginner,visual
358,37,problem-solving,Beginner,visual
359,39,coding,Advanced,visual
360,38,psychology,Intermediate,visual
361,55,psychology,Beginner,audio
362,15,psychology,Advanced,visual
363,44,psychology,Beginner,audio
364,50,mathematics,Advanced,audio
365,46,psychology,Advanced,visual
366,33,psychology,Advanced,visual
367,38,psychology,Advanced,audio
368,58,language,Beginner,visual
369,55,mathematics,Beginner,visual
370,40,neuroscience,Intermediate,kinesthetic
371,44,creativity,Beginner,visual
372,42,creativity,Beginner,visual
373,30,problem-solving,Intermediate,visual
374,41,language,Beginner,audio
375,32,attention,Advanced,audio
376,42,creativity,Advanced,audio
377,12,memory,Advanced,visual
378,27,attention,Intermediate,visual
379,34,psychology,Advanced,kinesthetic
380,51,psychology,Advanced,visual
381,40,mathematics,Intermediate,audio
382,12,attention,Beginner,audio
383,49,memory,Advanced,audio
384,55,mathematics,Advanced,visual
385,33,problem-solving,Beginner,visual
386,59,attention,Beginner,kinesthetic
387,41,language,Intermediate,visual
388,56,psychology,Beginner,kinesthetic
389,31,psychology,Advanced,visual
390,32,logic,Advanced,kinesthetic
391,11,mathematics,Beginner,visual
392,36,neuroscience,Intermediate,visual
393,51,neuroscience,Beginner,visual
394,11,mathematics,Intermediate,visual
395,35,language,Beginner,visual
396,26,coding,Intermediate,audio
397,49,mathematics,Beginner,audio
398,42,language,Beginner,visual
399,18,problem-solving,Beginner,visual
400,52,psychology,Beginner,audio
401,57,memory,Intermediate,audio
402,48,coding,Beginner,audio
403,38,attention,Intermediate,visual
404,51,coding,Advanced,audio
405,35,memory,Advanced,audio
406,44,logic,Advanced,audio
407,59,psychology,Advanced,audio
408,34,neuroscience,Beginner,kinesthetic
409,33,language,Beginner,audio
410,22,mathematics,Intermediate,visual
411,16,mathematics,Advanced,visual
412,45,neuroscience,Advanced,kinesthetic
413,54,coding,Beginner,audio
414,29,psychology,Beginner,audio
